,Estado,Fecha,pediatricos hospitalizados con covid,adultos hospitalizados con covid,hospitalizados con sospecha o confirmacion de covid,pediatricos hospitalizados en UCI con covid,adultos hospitalizados en UCI con covid,camas pediatricas UCI,camas adultos UCI,hospitales con falta de personal,muertes por covid
28154,VT,2021-02-23,0.0,31.0,32.0,,10.0,33.0,106.0,2,2.0
28155,WA,2021-02-23,1.0,459.0,533.0,,118.0,379.0,1365.0,6,4.0
28156,MD,2021-02-23,9.0,927.0,1206.0,,240.0,241.0,1353.0,3,13.0
28157,RI,2021-02-23,0.0,169.0,207.0,,26.0,96.0,179.0,4,0.0
28158,OK,2021-02-23,50.0,730.0,835.0,,209.0,390.0,1095.0,32,14.0
28159,ND,2021-02-23,1.0,61.0,86.0,,14.0,56.0,196.0,10,0.0
28160,CO,2021-02-23,9.0,535.0,637.0,,185.0,687.0,1634.0,6,1.0
28161,NC,2021-02-23,19.0,1414.0,1539.0,,380.0,0.0,2536.0,3,20.0
28162,NJ,2021-02-23,7.0,1946.0,2130.0,,367.0,113.0,2979.0,8,34.0
28163,OH,2021-02-23,19.0,1363.0,1688.0,,363.0,371.0,4209.0,14,23.0
28164,VI,2021-02-23,0.0,4.0,4.0,,0.0,,20.0,2,0.0
28165,UT,2021-02-23,0.0,210.0,248.0,,92.0,409.0,628.0,0,2.0
28166,NM,2021-02-23,3.0,252.0,275.0,,84.0,0.0,470.0,19,6.0
28167,KY,2021-02-23,5.0,815.0,912.0,,222.0,0.0,1835.0,0,12.0
28168,NY,2021-02-22,57.0,6169.0,6972.0,,1196.0,1416.0,5634.0,4,81.0
28169,IA,2021-02-22,2.0,225.0,240.0,,58.0,,675.0,3,3.0
28170,DE,2021-02-22,1.0,175.0,187.0,,28.0,172.0,200.0,0,1.0
28171,MN,2021-02-22,10.0,262.0,352.0,,54.0,489.0,902.0,19,1.0
28172,CO,2021-02-22,12.0,551.0,625.0,,189.0,688.0,1633.0,7,4.0
28173,CT,2021-02-22,5.0,513.0,597.0,,116.0,336.0,1067.0,4,9.0
28174,TX,2021-02-22,88.0,7085.0,7782.0,,2113.0,343.0,7668.0,121,113.0
28175,DC,2021-02-22,12.0,239.0,287.0,,56.0,8.0,342.0,0,4.0
28176,OR,2021-02-22,3.0,201.0,260.0,,47.0,105.0,803.0,0,1.0
28177,VT,2021-02-22,0.0,37.0,38.0,,13.0,33.0,106.0,2,1.0
28178,MD,2021-02-22,9.0,931.0,1218.0,,256.0,246.0,1347.0,4,20.0
28179,SC,2021-02-22,2.0,839.0,892.0,,220.0,339.0,1195.0,20,5.0
28180,RI,2021-02-22,0.0,173.0,211.0,,26.0,96.0,174.0,4,2.0
28181,MS,2021-02-22,2.0,487.0,612.0,,134.0,179.0,861.0,11,6.0
28182,PA,2021-02-22,18.0,1981.0,2439.0,,439.0,1485.0,3651.0,21,27.0
28183,SD,2021-02-22,1.0,64.0,91.0,,14.0,83.0,241.0,0,2.0
28184,MI,2021-02-22,9.0,716.0,830.0,,206.0,267.0,2637.0,2,12.0
28185,NJ,2021-02-22,8.0,1953.0,2115.0,,386.0,113.0,2982.0,7,34.0
28186,WA,2021-02-22,1.0,470.0,522.0,,118.0,383.0,1343.0,5,12.0
28187,WY,2021-02-22,1.0,20.0,26.0,,6.0,0.0,139.0,2,1.0
28188,PR,2021-02-22,2.0,151.0,261.0,,37.0,21.0,754.0,1,57.0
28189,NV,2021-02-22,6.0,554.0,600.0,,117.0,0.0,897.0,0,11.0
28190,WI,2021-02-22,7.0,376.0,434.0,,108.0,145.0,1611.0,14,6.0
28191,NM,2021-02-22,4.0,261.0,284.0,,84.0,0.0,470.0,17,5.0
28192,HI,2021-02-22,0.0,37.0,47.0,,10.0,94.0,227.0,2,1.0
28193,ND,2021-02-22,1.0,75.0,97.0,,17.0,56.0,197.0,10,1.0
28194,NH,2021-02-22,0.0,104.0,123.0,,20.0,39.0,282.0,4,0.0
28195,OH,2021-02-22,26.0,1370.0,1648.0,,366.0,381.0,4153.0,13,39.0
28196,TN,2021-02-22,12.0,976.0,1083.0,,286.0,0.0,2403.0,19,19.0
28197,AK,2021-02-22,0.0,39.0,42.0,,9.0,66.0,132.0,1,0.0
28198,FL,2021-02-22,28.0,4298.0,4688.0,,965.0,1584.0,6403.0,10,63.0
28199,AZ,2021-02-22,11.0,1174.0,1492.0,,322.0,285.0,2232.0,26,31.0
28200,AL,2021-02-22,10.0,866.0,972.0,,269.0,0.0,1637.0,27,27.0
28201,VI,2021-02-22,0.0,1.0,1.0,,0.0,,20.0,2,0.0
28202,MA,2021-02-22,10.0,695.0,869.0,,218.0,,1455.0,7,18.0
28203,NE,2021-02-22,5.0,166.0,188.0,,56.0,0.0,568.0,9,5.0
28204,KS,2021-02-22,4.0,350.0,392.0,,85.0,229.0,854.0,14,2.0
28205,KY,2021-02-22,2.0,859.0,930.0,,245.0,0.0,1835.0,0,12.0
28206,GA,2021-02-22,31.0,2381.0,2841.0,,709.0,228.0,2856.0,33,41.0
28207,VA,2021-02-22,15.0,1251.0,1505.0,,269.0,417.0,2025.0,17,26.0
28208,AR,2021-02-22,15.0,536.0,639.0,,185.0,419.0,1026.0,17,12.0
28209,MT,2021-02-22,4.0,81.0,100.0,,20.0,18.0,234.0,8,1.0
28210,IN,2021-02-22,13.0,581.0,859.0,,162.0,19.0,2201.0,13,12.0
28211,ID,2021-02-22,2.0,129.0,144.0,,38.0,223.0,307.0,3,4.0
28212,NC,2021-02-22,18.0,1458.0,1582.0,,391.0,0.0,2512.0,2,34.0
28213,MO,2021-02-22,24.0,869.0,1202.0,,261.0,878.0,1809.0,25,12.0
28214,IL,2021-02-22,14.0,1219.0,1554.0,,304.0,1129.0,3551.0,11,19.0
28215,CA,2021-02-22,95.0,6296.0,6906.0,,1823.0,3534.0,7700.0,118,134.0
28216,UT,2021-02-22,0.0,233.0,268.0,,97.0,409.0,627.0,0,2.0
28217,OK,2021-02-22,51.0,747.0,865.0,,224.0,390.0,1089.0,33,10.0
28218,WV,2021-02-22,2.0,326.0,364.0,,81.0,153.0,712.0,19,5.0
28219,ME,2021-02-22,0.0,79.0,92.0,,25.0,58.0,339.0,3,1.0
28220,LA,2021-02-22,4.0,740.0,649.0,,193.0,11.0,1840.0,43,6.0
28221,MA,2021-02-21,13.0,738.0,900.0,,228.0,,1458.0,10,11.0
28222,RI,2021-02-21,0.0,173.0,211.0,,25.0,94.0,164.0,4,2.0
28223,NH,2021-02-21,0.0,101.0,121.0,,20.0,39.0,283.0,3,0.0
28224,VT,2021-02-21,0.0,38.0,35.0,,10.0,33.0,103.0,2,0.0
28225,KS,2021-02-21,4.0,357.0,405.0,,82.0,229.0,844.0,15,6.0
28226,MS,2021-02-21,1.0,475.0,586.0,,129.0,177.0,845.0,10,8.0
28227,IL,2021-02-21,12.0,1245.0,1621.0,,312.0,1129.0,3546.0,10,21.0
28228,AR,2021-02-21,16.0,576.0,704.0,,185.0,414.0,1020.0,18,5.0
28229,ID,2021-02-21,3.0,133.0,142.0,,35.0,224.0,305.0,3,1.0
28230,MI,2021-02-21,11.0,716.0,852.0,,212.0,269.0,2640.0,3,8.0
28231,MO,2021-02-21,24.0,844.0,1186.0,,249.0,887.0,1804.0,25,13.0
28232,OH,2021-02-21,19.0,1447.0,1721.0,,383.0,381.0,4164.0,12,32.0
28233,NM,2021-02-21,5.0,267.0,303.0,,92.0,1.0,467.0,15,2.0
28234,DE,2021-02-21,2.0,180.0,194.0,,28.0,172.0,200.0,1,0.0
28235,NC,2021-02-21,16.0,1511.0,1576.0,,407.0,0.0,2512.0,4,29.0
28236,SC,2021-02-21,3.0,869.0,943.0,,215.0,339.0,1198.0,22,25.0
28237,TX,2021-02-21,99.0,6956.0,7660.0,,2112.0,339.0,7514.0,124,135.0
28238,KY,2021-02-21,3.0,853.0,955.0,,242.0,0.0,1835.0,0,15.0
28239,WA,2021-02-21,1.0,482.0,563.0,,119.0,389.0,1336.0,9,6.0
28240,PR,2021-02-21,2.0,148.0,229.0,,36.0,15.0,695.0,1,2.0
28241,CA,2021-02-21,89.0,6581.0,7205.0,,1927.0,3516.0,7733.0,113,150.0
28242,CT,2021-02-21,5.0,511.0,598.0,,114.0,336.0,1067.0,4,7.0
28243,NJ,2021-02-21,8.0,1976.0,2156.0,,360.0,113.0,2982.0,9,31.0
28244,IA,2021-02-21,3.0,219.0,223.0,,54.0,,676.0,3,1.0
28245,FL,2021-02-21,27.0,4365.0,4816.0,,974.0,1586.0,6441.0,9,51.0
28246,PA,2021-02-21,27.0,1974.0,2370.0,,427.0,1481.0,3838.0,21,54.0
28247,ND,2021-02-21,2.0,70.0,94.0,,16.0,66.0,194.0,11,1.0
28248,SD,2021-02-21,0.0,65.0,93.0,,11.0,83.0,243.0,1,1.0
28249,NV,2021-02-21,6.0,575.0,651.0,,133.0,0.0,898.0,0,7.0
28250,IN,2021-02-21,12.0,613.0,891.0,,161.0,46.0,2199.0,13,9.0
28251,LA,2021-02-21,6.0,748.0,660.0,,195.0,11.0,1823.0,43,11.0
28252,NE,2021-02-21,5.0,162.0,187.0,,55.0,0.0,569.0,10,2.0
28253,UT,2021-02-21,0.0,229.0,274.0,,95.0,409.0,627.0,0,1.0
28254,AL,2021-02-21,13.0,929.0,1112.0,,277.0,0.0,1637.0,28,12.0
28255,MT,2021-02-21,4.0,82.0,91.0,,17.0,44.0,234.0,9,0.0
28256,AK,2021-02-21,0.0,35.0,39.0,,9.0,66.0,131.0,1,0.0
28257,OK,2021-02-21,53.0,728.0,832.0,,225.0,392.0,1088.0,34,10.0
28258,ME,2021-02-21,0.0,79.0,91.0,,25.0,56.0,338.0,1,1.0
28259,DC,2021-02-21,13.0,231.0,286.0,,52.0,34.0,335.0,0,1.0
28260,VI,2021-02-21,0.0,0.0,0.0,,0.0,,20.0,2,0.0
28261,MD,2021-02-21,9.0,941.0,1259.0,,263.0,239.0,1305.0,4,18.0
28262,GA,2021-02-21,31.0,2465.0,2909.0,,713.0,231.0,2853.0,30,43.0
28263,WV,2021-02-21,2.0,346.0,395.0,,82.0,153.0,712.0,19,4.0
28264,HI,2021-02-21,0.0,43.0,51.0,,13.0,94.0,220.0,2,0.0
28265,NY,2021-02-21,47.0,6074.0,6784.0,,1169.0,1430.0,5668.0,5,96.0
28266,AZ,2021-02-21,13.0,1250.0,1607.0,,338.0,283.0,2240.0,26,16.0
28267,WI,2021-02-21,8.0,374.0,421.0,,104.0,145.0,1596.0,13,2.0
28268,MN,2021-02-21,13.0,233.0,333.0,,48.0,487.0,923.0,19,1.0
28269,OR,2021-02-21,3.0,204.0,285.0,,48.0,106.0,802.0,2,2.0
28270,WY,2021-02-21,2.0,24.0,32.0,,8.0,0.0,139.0,2,1.0
28271,TN,2021-02-21,12.0,936.0,1036.0,,278.0,0.0,2394.0,17,15.0
28272,VA,2021-02-21,16.0,1308.0,1604.0,,268.0,416.0,2016.0,21,21.0
28273,CO,2021-02-21,10.0,462.0,535.0,,144.0,580.0,1345.0,5,5.0
28274,NM,2021-02-20,4.0,262.0,290.0,,84.0,0.0,467.0,15,6.0
28275,NV,2021-02-20,8.0,607.0,675.0,,141.0,0.0,894.0,0,11.0
28276,PR,2021-02-20,1.0,146.0,224.0,,35.0,15.0,696.0,0,6.0
28277,MS,2021-02-20,2.0,490.0,573.0,,143.0,181.0,846.0,10,6.0
28278,OH,2021-02-20,19.0,1477.0,1788.0,,385.0,380.0,4188.0,13,24.0
28279,CO,2021-02-20,12.0,443.0,513.0,,147.0,572.0,1349.0,5,4.0
28280,HI,2021-02-20,0.0,40.0,54.0,,11.0,94.0,220.0,2,0.0
28281,VA,2021-02-20,18.0,1321.0,1583.0,,258.0,417.0,2015.0,22,25.0
28282,IA,2021-02-20,2.0,227.0,244.0,,58.0,,676.0,3,6.0
28283,WI,2021-02-20,8.0,378.0,429.0,,100.0,145.0,1615.0,16,6.0
28284,AL,2021-02-20,19.0,951.0,1126.0,,286.0,0.0,1638.0,30,18.0
28285,OK,2021-02-20,55.0,750.0,873.0,,237.0,390.0,1096.0,34,13.0
28286,AZ,2021-02-20,14.0,1314.0,1663.0,,346.0,285.0,2266.0,25,30.0
28287,VI,2021-02-20,0.0,0.0,3.0,,0.0,,20.0,2,0.0
28288,MI,2021-02-20,14.0,731.0,866.0,,209.0,267.0,2623.0,3,8.0
28289,MD,2021-02-20,8.0,966.0,1259.0,,278.0,239.0,1348.0,2,18.0
28290,SD,2021-02-20,0.0,62.0,92.0,,15.0,83.0,243.0,1,1.0
28291,CT,2021-02-20,6.0,523.0,596.0,,125.0,336.0,1067.0,4,7.0
28292,NC,2021-02-20,17.0,1558.0,1653.0,,414.0,0.0,2517.0,4,20.0
28293,MA,2021-02-20,14.0,768.0,953.0,,231.0,,1469.0,10,19.0
28294,LA,2021-02-20,6.0,781.0,685.0,,203.0,11.0,1823.0,44,9.0
28295,UT,2021-02-20,0.0,230.0,267.0,,99.0,409.0,624.0,0,1.0
28296,RI,2021-02-20,0.0,173.0,212.0,,27.0,97.0,168.0,4,4.0
28297,MN,2021-02-20,7.0,248.0,335.0,,50.0,492.0,919.0,19,2.0
28298,MO,2021-02-20,25.0,838.0,1179.0,,252.0,884.0,1821.0,26,13.0
28299,ME,2021-02-20,0.0,82.0,97.0,,25.0,57.0,339.0,1,4.0
28300,IL,2021-02-20,12.0,1250.0,1600.0,,309.0,1129.0,3547.0,9,23.0
28301,DC,2021-02-20,7.0,228.0,273.0,,52.0,4.0,341.0,0,2.0
28302,CA,2021-02-20,87.0,6725.0,7366.0,,2002.0,3507.0,7766.0,113,172.0
28303,FL,2021-02-20,35.0,4376.0,4812.0,,984.0,1589.0,6441.0,9,68.0
28304,IN,2021-02-20,14.0,640.0,888.0,,163.0,46.0,2216.0,12,3.0
28305,AK,2021-02-20,0.0,34.0,50.0,,7.0,67.0,131.0,1,0.0
28306,KY,2021-02-20,5.0,875.0,984.0,,238.0,0.0,1835.0,0,16.0
28307,SC,2021-02-20,7.0,875.0,957.0,,218.0,339.0,1192.0,22,20.0
28308,WY,2021-02-20,0.0,29.0,36.0,,7.0,0.0,139.0,2,0.0
28309,OR,2021-02-20,4.0,200.0,272.0,,49.0,105.0,808.0,2,1.0
28310,NE,2021-02-20,3.0,169.0,194.0,,60.0,0.0,568.0,10,2.0
28311,WA,2021-02-20,1.0,480.0,561.0,,109.0,387.0,1345.0,8,6.0
28312,NH,2021-02-20,0.0,100.0,124.0,,20.0,39.0,282.0,4,0.0
28313,VT,2021-02-20,0.0,38.0,39.0,,11.0,33.0,106.0,2,2.0
28314,NJ,2021-02-20,11.0,1984.0,2199.0,,372.0,113.0,2978.0,9,26.0
28315,KS,2021-02-20,4.0,341.0,389.0,,88.0,231.0,844.0,12,5.0
28316,PA,2021-02-20,38.0,1999.0,2473.0,,432.0,1463.0,3829.0,20,27.0
28317,WV,2021-02-20,3.0,342.0,394.0,,77.0,153.0,712.0,19,4.0
28318,ND,2021-02-20,2.0,67.0,88.0,,18.0,56.0,197.0,12,1.0
28319,TN,2021-02-20,14.0,937.0,1071.0,,284.0,0.0,2393.0,22,23.0
28320,DE,2021-02-20,1.0,176.0,188.0,,25.0,172.0,200.0,1,0.0
28321,ID,2021-02-20,3.0,131.0,140.0,,34.0,226.0,306.0,4,0.0
28322,GA,2021-02-20,32.0,2498.0,2970.0,,714.0,233.0,2861.0,32,44.0
28323,MT,2021-02-20,3.0,74.0,82.0,,18.0,44.0,233.0,9,2.0
28324,TX,2021-02-20,97.0,7154.0,7897.0,,2281.0,343.0,7523.0,127,156.0
28325,NY,2021-02-20,55.0,6022.0,6717.0,,1198.0,1431.0,5657.0,5,67.0
28326,AR,2021-02-20,3.0,591.0,709.0,,182.0,441.0,1012.0,16,5.0
28327,MS,2021-02-19,4.0,514.0,594.0,,142.0,179.0,849.0,13,5.0
28328,MI,2021-02-19,13.0,740.0,861.0,,207.0,262.0,2651.0,4,13.0
28329,UT,2021-02-19,0.0,235.0,266.0,,103.0,409.0,624.0,0,1.0
28330,VT,2021-02-19,0.0,37.0,39.0,,13.0,33.0,106.0,2,0.0
28331,GA,2021-02-19,31.0,2652.0,3144.0,,754.0,235.0,2888.0,36,40.0
28332,OR,2021-02-19,8.0,207.0,287.0,,49.0,104.0,817.0,3,5.0
28333,ND,2021-02-19,2.0,77.0,100.0,,17.0,56.0,195.0,12,1.0
28334,AR,2021-02-19,5.0,596.0,732.0,,179.0,424.0,1027.0,20,8.0
28335,AL,2021-02-19,18.0,1007.0,1152.0,,295.0,0.0,1639.0,29,18.0
28336,MO,2021-02-19,20.0,850.0,1222.0,,249.0,902.0,1814.0,25,16.0
28337,VI,2021-02-19,0.0,0.0,0.0,,0.0,,20.0,2,0.0
28338,TX,2021-02-19,103.0,7528.0,8202.0,,2327.0,345.0,7624.0,138,142.0
28339,WY,2021-02-19,0.0,34.0,41.0,,11.0,0.0,139.0,2,0.0
28340,AZ,2021-02-19,14.0,1385.0,1727.0,,374.0,281.0,2281.0,23,34.0
28341,MT,2021-02-19,2.0,74.0,81.0,,20.0,18.0,221.0,9,2.0
28342,HI,2021-02-19,0.0,40.0,57.0,,13.0,94.0,220.0,2,1.0
28343,FL,2021-02-19,42.0,4451.0,4949.0,,970.0,1596.0,6462.0,11,67.0
28344,SC,2021-02-19,11.0,928.0,1028.0,,221.0,337.0,1205.0,22,25.0
28345,RI,2021-02-19,1.0,181.0,223.0,,29.0,95.0,178.0,4,2.0
28346,NM,2021-02-19,4.0,273.0,299.0,,89.0,2.0,467.0,19,6.0
28347,WA,2021-02-19,2.0,496.0,574.0,,101.0,390.0,1340.0,4,5.0
28348,IA,2021-02-19,2.0,236.0,248.0,,56.0,,676.0,3,3.0
28349,NY,2021-02-19,56.0,6248.0,6933.0,,1215.0,1434.0,5659.0,5,93.0
28350,IN,2021-02-19,14.0,680.0,944.0,,173.0,19.0,2208.0,14,13.0
28351,CO,2021-02-19,10.0,422.0,507.0,,148.0,568.0,1359.0,5,1.0
28352,NH,2021-02-19,0.0,98.0,119.0,,18.0,39.0,282.0,4,0.0
28353,PA,2021-02-19,32.0,2162.0,2599.0,,473.0,1472.0,3921.0,25,43.0
28354,WV,2021-02-19,1.0,340.0,402.0,,81.0,153.0,712.0,20,2.0
28355,SD,2021-02-19,2.0,70.0,95.0,,15.0,83.0,244.0,2,2.0
28356,MD,2021-02-19,7.0,1012.0,1283.0,,270.0,247.0,1348.0,1,15.0
28357,OH,2021-02-19,23.0,1481.0,1787.0,,385.0,379.0,4176.0,12,21.0
28358,DC,2021-02-19,1.0,242.0,275.0,,54.0,4.0,339.0,0,2.0
28359,NC,2021-02-19,23.0,1584.0,1675.0,,416.0,0.0,2522.0,5,28.0
28360,ME,2021-02-19,0.0,87.0,100.0,,28.0,55.0,341.0,2,0.0
28361,CT,2021-02-19,7.0,536.0,606.0,,127.0,335.0,1070.0,4,11.0
28362,MA,2021-02-19,13.0,799.0,948.0,,245.0,,1466.0,10,23.0
28363,VA,2021-02-19,15.0,1417.0,1682.0,,273.0,414.0,2029.0,22,36.0
28364,NV,2021-02-19,4.0,632.0,703.0,,152.0,0.0,905.0,0,9.0
28365,KY,2021-02-19,3.0,901.0,1002.0,,248.0,0.0,1835.0,1,16.0
28366,NJ,2021-02-19,4.0,2042.0,2252.0,,393.0,113.0,2978.0,10,33.0
28367,NE,2021-02-19,2.0,177.0,181.0,,67.0,0.0,572.0,10,5.0
28368,PR,2021-02-19,3.0,152.0,240.0,,36.0,21.0,705.0,1,57.0
28369,WI,2021-02-19,4.0,412.0,454.0,,109.0,145.0,1609.0,14,13.0
28370,TN,2021-02-19,11.0,974.0,1080.0,,285.0,0.0,2372.0,24,20.0
28371,LA,2021-02-19,4.0,822.0,727.0,,210.0,11.0,1840.0,44,11.0
28372,AK,2021-02-19,0.0,30.0,33.0,,7.0,68.0,131.0,1,0.0
28373,ID,2021-02-19,3.0,125.0,142.0,,38.0,224.0,307.0,4,0.0
28374,DE,2021-02-19,1.0,181.0,193.0,,23.0,172.0,200.0,1,2.0
28375,OK,2021-02-19,51.0,776.0,881.0,,242.0,390.0,1091.0,37,13.0
28376,CA,2021-02-19,101.0,7139.0,7814.0,,2084.0,3507.0,7814.0,110,189.0
28377,IL,2021-02-19,12.0,1326.0,1701.0,,312.0,1128.0,3550.0,10,20.0
28378,KS,2021-02-19,3.0,352.0,410.0,,95.0,232.0,845.0,17,2.0
28379,MN,2021-02-19,9.0,277.0,367.0,,51.0,501.0,900.0,19,4.0
28380,SD,2021-02-18,2.0,51.0,90.0,,11.0,83.0,244.0,2,1.0
28381,MA,2021-02-18,11.0,810.0,962.0,,256.0,,1467.0,10,12.0
28382,GA,2021-02-18,35.0,2744.0,3306.0,,783.0,233.0,2887.0,38,36.0
28383,OH,2021-02-18,33.0,1505.0,1850.0,,411.0,376.0,4137.0,15,27.0
28384,SC,2021-02-18,8.0,964.0,1059.0,,242.0,337.0,1204.0,22,24.0
28385,WA,2021-02-18,1.0,538.0,613.0,,121.0,375.0,1317.0,7,6.0
28386,NC,2021-02-18,26.0,1684.0,1822.0,,418.0,0.0,2524.0,4,40.0
28387,IN,2021-02-18,13.0,694.0,959.0,,178.0,3.0,2185.0,13,9.0
28388,NV,2021-02-18,5.0,663.0,730.0,,160.0,0.0,899.0,0,16.0
28389,KY,2021-02-18,1.0,897.0,1000.0,,258.0,0.0,1837.0,0,14.0
28390,MN,2021-02-18,9.0,275.0,371.0,,60.0,499.0,907.0,19,4.0
28391,UT,2021-02-18,0.0,250.0,286.0,,109.0,410.0,624.0,0,0.0
28392,CA,2021-02-18,102.0,7532.0,8239.0,,2206.0,3504.0,7925.0,111,164.0
28393,PR,2021-02-18,3.0,161.0,263.0,,35.0,21.0,704.0,1,57.0
28394,ID,2021-02-18,4.0,126.0,137.0,,36.0,224.0,306.0,4,0.0
28395,WY,2021-02-18,0.0,35.0,47.0,,8.0,0.0,138.0,2,0.0
28396,IA,2021-02-18,5.0,236.0,251.0,,60.0,,676.0,3,5.0
28397,MO,2021-02-18,23.0,872.0,1238.0,,265.0,902.0,1804.0,24,13.0
28398,TN,2021-02-18,6.0,1019.0,1134.0,,281.0,4.0,2375.0,22,23.0
28399,AZ,2021-02-18,15.0,1437.0,1793.0,,409.0,286.0,2282.0,25,33.0
28400,VA,2021-02-18,13.0,1475.0,1695.0,,298.0,416.0,2016.0,22,21.0
28401,OK,2021-02-18,54.0,814.0,919.0,,252.0,390.0,1108.0,36,15.0
28402,LA,2021-02-18,4.0,820.0,743.0,,220.0,11.0,1841.0,45,19.0
28403,VI,2021-02-18,0.0,0.0,0.0,,0.0,,20.0,2,0.0
28404,MD,2021-02-18,7.0,979.0,1272.0,,265.0,248.0,1359.0,3,12.0
28405,PA,2021-02-18,31.0,2166.0,2607.0,,495.0,1492.0,3879.0,24,40.0
28406,MS,2021-02-18,4.0,484.0,605.0,,137.0,180.0,853.0,13,9.0
28407,NY,2021-02-18,50.0,6412.0,7152.0,,1249.0,1447.0,5645.0,5,121.0
28408,CO,2021-02-18,11.0,445.0,507.0,,150.0,568.0,1350.0,5,10.0
28409,AK,2021-02-18,0.0,27.0,28.0,,6.0,75.0,132.0,1,0.0
28410,ND,2021-02-18,2.0,78.0,108.0,,19.0,56.0,212.0,11,0.0
28411,WV,2021-02-18,2.0,340.0,408.0,,71.0,153.0,710.0,20,1.0
28412,AR,2021-02-18,6.0,587.0,713.0,,181.0,422.0,1034.0,22,8.0
28413,TX,2021-02-18,97.0,7748.0,8416.0,,2377.0,437.0,7651.0,142,129.0
28414,DE,2021-02-18,1.0,180.0,191.0,,21.0,172.0,200.0,1,0.0
28415,HI,2021-02-18,0.0,42.0,53.0,,14.0,94.0,222.0,2,1.0
28416,NH,2021-02-18,0.0,110.0,125.0,,18.0,39.0,282.0,4,0.0
28417,KS,2021-02-18,3.0,342.0,398.0,,89.0,231.0,848.0,15,10.0
28418,ME,2021-02-18,0.0,89.0,105.0,,27.0,54.0,341.0,2,1.0
28419,FL,2021-02-18,44.0,4516.0,4969.0,,1005.0,1602.0,6461.0,10,61.0
28420,RI,2021-02-18,2.0,177.0,219.0,,27.0,86.0,176.0,4,0.0
28421,MT,2021-02-18,2.0,83.0,89.0,,16.0,18.0,222.0,10,1.0
28422,NJ,2021-02-18,5.0,2089.0,2320.0,,397.0,113.0,2961.0,8,33.0
28423,NE,2021-02-18,2.0,187.0,204.0,,67.0,0.0,571.0,9,5.0
28424,WI,2021-02-18,2.0,437.0,474.0,,127.0,145.0,1613.0,12,3.0
28425,VT,2021-02-18,0.0,38.0,42.0,,13.0,33.0,106.0,2,0.0
28426,MI,2021-02-18,12.0,766.0,883.0,,204.0,257.0,2650.0,2,23.0
28427,AL,2021-02-18,17.0,1056.0,1223.0,,320.0,0.0,1629.0,29,17.0
28428,IL,2021-02-18,13.0,1345.0,1731.0,,320.0,1129.0,3547.0,12,23.0
28429,NM,2021-02-18,3.0,280.0,308.0,,96.0,5.0,469.0,20,7.0
28430,OR,2021-02-18,6.0,207.0,285.0,,51.0,106.0,820.0,2,0.0
28431,CT,2021-02-18,3.0,552.0,642.0,,135.0,336.0,1067.0,4,16.0
28432,DC,2021-02-18,1.0,245.0,287.0,,50.0,4.0,340.0,0,4.0
28433,RI,2021-02-17,1.0,185.0,223.0,,29.0,96.0,179.0,3,3.0
28434,AZ,2021-02-17,17.0,1509.0,1834.0,,417.0,281.0,2273.0,24,29.0
28435,KY,2021-02-17,1.0,921.0,1007.0,,256.0,0.0,1837.0,0,11.0
28436,WV,2021-02-17,3.0,351.0,399.0,,61.0,153.0,714.0,21,6.0
28437,MA,2021-02-17,5.0,843.0,977.0,,266.0,,1474.0,10,21.0
28438,VI,2021-02-17,0.0,0.0,0.0,,0.0,,20.0,2,0.0
28439,NJ,2021-02-17,8.0,2198.0,2435.0,,402.0,113.0,2961.0,9,44.0
28440,MD,2021-02-17,7.0,1027.0,1327.0,,269.0,241.0,1359.0,2,20.0
28441,HI,2021-02-17,0.0,41.0,55.0,,16.0,94.0,227.0,2,0.0
28442,MS,2021-02-17,4.0,495.0,604.0,,135.0,182.0,860.0,15,3.0
28443,OR,2021-02-17,8.0,217.0,312.0,,54.0,104.0,815.0,5,1.0
28444,NV,2021-02-17,5.0,678.0,763.0,,165.0,0.0,905.0,0,14.0
28445,UT,2021-02-17,0.0,255.0,296.0,,108.0,412.0,624.0,0,1.0
28446,WI,2021-02-17,0.0,429.0,468.0,,123.0,145.0,1614.0,12,5.0
28447,NC,2021-02-17,26.0,1809.0,1909.0,,453.0,0.0,2527.0,5,33.0
28448,NH,2021-02-17,0.0,118.0,135.0,,19.0,39.0,281.0,5,2.0
28449,AL,2021-02-17,36.0,1108.0,1269.0,,341.0,0.0,1627.0,30,23.0
28450,WY,2021-02-17,1.0,35.0,44.0,,6.0,0.0,138.0,2,0.0
28451,LA,2021-02-17,4.0,843.0,755.0,,226.0,11.0,1829.0,43,13.0
28452,PA,2021-02-17,32.0,2250.0,2788.0,,502.0,1454.0,3891.0,23,34.0
28453,VT,2021-02-17,0.0,43.0,49.0,,11.0,33.0,106.0,2,1.0
28454,NM,2021-02-17,2.0,282.0,324.0,,92.0,56.0,469.0,17,4.0
28455,GA,2021-02-17,39.0,2827.0,3379.0,,822.0,235.0,2869.0,39,43.0
28456,ND,2021-02-17,2.0,79.0,115.0,,17.0,55.0,212.0,12,1.0
28457,VA,2021-02-17,17.0,1521.0,1801.0,,317.0,417.0,2021.0,21,33.0
28458,DE,2021-02-17,1.0,199.0,214.0,,18.0,172.0,198.0,1,0.0
28459,IN,2021-02-17,14.0,712.0,977.0,,180.0,19.0,2205.0,13,17.0
28460,SD,2021-02-17,2.0,70.0,93.0,,9.0,83.0,244.0,1,0.0
